subject,rating,spooncolor,yogurtcolor,feature
10,5,red,pink,saltiness
11,2,red,pink,saltiness
12,3,red,pink,saltiness
13,2,red,pink,saltiness
14,3,red,pink,saltiness
15,6,red,pink,saltiness
16,2,red,pink,saltiness
17,6,red,pink,saltiness
18,8,red,pink,saltiness
19,7,red,pink,saltiness
20,7,red,pink,saltiness
21,7,red,pink,saltiness
22,6,red,pink,saltiness
23,7,red,pink,saltiness
24,4,red,pink,saltiness
25,5,red,pink,saltiness
26,3,red,pink,saltiness
27,6,red,pink,saltiness
28,7,red,pink,saltiness
29,3,red,pink,saltiness
30,3,red,pink,saltiness
31,5,red,pink,saltiness
32,4,red,pink,saltiness
33,6,red,pink,saltiness
34,5,red,pink,saltiness
35,6,red,pink,saltiness
36,7,red,pink,saltiness
37,8,red,pink,saltiness
38,4,red,pink,saltiness
39,4,red,pink,saltiness
40,4,red,pink,saltiness
1,5,blue,pink,saltiness
2,4,blue,pink,saltiness
3,4,blue,pink,saltiness
4,7,blue,pink,saltiness
5,5,blue,pink,saltiness
6,4,blue,pink,saltiness
7,3,blue,pink,saltiness
8,1,blue,pink,saltiness
9,6,blue,pink,saltiness
10,4,blue,pink,saltiness
11,2,blue,pink,saltiness
12,6,blue,pink,saltiness
13,2,blue,pink,saltiness
14,6,blue,pink,saltiness
15,4,blue,pink,saltiness
16,2,blue,pink,saltiness
17,7,blue,pink,saltiness
18,4,blue,pink,saltiness
19,7,blue,pink,saltiness
20,6,blue,pink,saltiness
21,6,blue,pink,saltiness
22,7,blue,pink,saltiness
23,5,blue,pink,saltiness
24,4,blue,pink,saltiness
25,5,blue,pink,saltiness
26,7,blue,pink,saltiness
27,5,blue,pink,saltiness
28,6,blue,pink,saltiness
29,3,blue,pink,saltiness
30,4,blue,pink,saltiness
31,7,blue,pink,saltiness
32,7,blue,pink,saltiness
33,7,blue,pink,saltiness
34,5,blue,pink,saltiness
35,5,blue,pink,saltiness
36,5,blue,pink,saltiness
37,8,blue,pink,saltiness
38,4,blue,pink,saltiness
39,3,blue,pink,saltiness
40,4,blue,pink,saltiness
1,7,green,pink,saltiness
2,5,green,pink,saltiness
3,5,green,pink,saltiness
4,4,green,pink,saltiness
5,5,green,pink,saltiness
6,4,green,pink,saltiness
7,4,green,pink,saltiness
8,1,green,pink,saltiness
9,8,green,pink,saltiness
10,6,green,pink,saltiness
11,2,green,pink,saltiness
12,3,green,pink,saltiness
13,1,green,pink,saltiness
14,3,green,pink,saltiness
15,5,green,pink,saltiness
16,2,green,pink,saltiness
17,7,green,pink,saltiness
18,3,green,pink,saltiness
19,7,green,pink,saltiness
20,3,green,pink,saltiness
21,6,green,pink,saltiness
22,8,green,pink,saltiness
23,3,green,pink,saltiness
24,5,green,pink,saltiness
25,5,green,pink,saltiness
26,2,green,pink,saltiness
27,5,green,pink,saltiness
